period,distrito,population,Distrito
2018,Manhi��A,291552,MANHIÇA
2007,Manhica,40208,MANHICA
2018,Manhica,99824,MANHICA
2007,Manica,215275,MANICA
2018,Manica,354675,MANICA
2007,Maravia,82874,MARAVIA
2018,Maravia,138467,MARAVIA
2007,Maringue,75135,MARINGUE
2018,Maringue,111579,MARINGUE
2007,Marracuene,84975,MARRACUENE
2018,Marracuene,230995,MARRACUENE
2007,Marromeu,113419,MARROMEU
2018,Marromeu,228577,MARROMEU
2007,Marrupa,53649,MARRUPA
2018,Marrupa,84063,MARRUPA
2007,Massangena,15780,MASSANGENA
2018,Massangena,20180,MASSANGENA
2007,Massinga,186292,MASSINGA
2018,Massinga,222655,MASSINGA
2007,Massingir,28701,MASSINGIR
2018,Massingir,41512,MASSINGIR
2007,Matutuine,37239,MATUTUINE
2018,Matutuine,44883,MATUTUINE
2007,Maua,49397,MAUA
2018,Maua,75577,MAUA
2007,Mavago,20241,MAVAGO
2018,Mavago,37426,MAVAGO
2007,Cidade de Maxixe,108824,MAXIXE
2018,Cidade de Maxixe,145430,MAXIXE
2007,Mecanhelas,156885,MECANHELAS
2018,Mecanhelas,423692,MECANHELAS
2007,Meconta,154843,MECONTA
2018,Meconta,228874,MECONTA
2007,Mecuburi,155624,MECUBURI
2018,Mecuburi,217234,MECUBURI
2007,Mecufi,43285,MECUFI
2018,Mecufi,54455,MECUFI
2007,Mecula,13779,MECULA
2018,Mecula,20935,MECULA
2007,Meluco,24637,MELUCO
2018,Meluco,28078,MELUCO
2007,Memba,229824,MEMBA
2018,Memba,299700,MEMBA
2007,Metarica,29439,METARICA
2018,Metarica,122603,METARICA
2007,Milange,498635,MILANGE
2018,Milange,791489,MILANGE
2007,Moamba,56559,MOAMBA
2018,Moamba,79798,MOAMBA
2007,Moatize,215092,MOATIZE
2018,Moatize,529975,MOATIZE
2007,Mocimboa da Praia,90421,MOCIMBOA_DA_PRAIA
2018,Mocimboa da Praia,124260,MOCIMBOA_DA_PRAIA
2007,Mocuba,300628,MOCUBA
2018,Mocuba,478331,MOCUBA
2007,Mogincual,126138,MOGINCUAL
2018,Mogincual,188648,MOGINCUAL
2007,Mogovolas,266559,MOGOVOLAS
2018,Mogovolas,585078,MOGOVOLAS
2007,Moma,310690,MOMA
2018,Moma,429473,MOMA
2007,Monapo,304060,MONAPO
2018,Monapo,451526,MONAPO
2007,Montepuez,193602,MONTEPUEZ
2018,Montepuez,266650,MONTEPUEZ
2007,Mopeia,115291,MOPEIA
2018,Mopeia,203427,MOPEIA
2007,Morrumbala,358913,MORRUMBALA
2018,Morrumbala,563631,MORRUMBALA
2007,Morrumbene,124436,MORRUMBENE
2018,Morrumbene,172700,MORRUMBENE
2007,Mossuril,116301,MOSSURIL
2018,Mossuril,162141,MOSSURIL
2007,Mossurize,194562,MOSSURIZE
2018,Mossurize,381242,MOSSURIZE
2007,Muanza,25225,MUANZA
2018,Muanza,51283,MUANZA
2007,Muecate,93906,MUECATE
2018,Muecate,136510,MUECATE
2007,Mueda,113742,MUEDA
2018,Mueda,142855,MUEDA
2007,Muembe,28645,MUEMBE
2018,Muembe,48455,MUEMBE
2007,Muidumbe,72840,MUIDUMBE
2018,Muidumbe,85899,MUIDUMBE
2007,Murrupula,140311,MURRUPULA
2018,Murrupula,210981,MURRUPULA
2007,Mutarara,207010,MUTARARA
2018,Mutarara,353689,MUTARARA
2007,Nacala Porto,172064,NACALA
2018,Nacala Porto,234527,NACALA
2007,Nacala Velha,88807,NACALA-A-VELHA
2018,Nacala Velha,147764,NACALA-A-VELHA
2007,Nacaroa,106887,NACAROA
2018,Nacaroa,146110,NACAROA
2007,Namaacha,41954,NAMAACHA
2018,Namaacha,60771,NAMAACHA
2007,Namacurra,186410,NAMACURRA
2018,Namacurra,334514,NAMACURRA
2007,Namarroi,125999,NAMARROI
2018,Namarroi,169733,NAMARROI
2007,Cidade de Nampula,203733,NAMPULA
2018,Cidade de Nampula,377811,NAMPULA
2007,Namuno,179408,NAMUNO
2018,Namuno,247222,NAMUNO
2007,Nangade,48102,NANGADE
2018,Nangade,60992,NANGADE
2007,N`Gauma,64049,NGAUMA
2018,N`Gauma,149177,NGAUMA
2007,Nhamatanda,207987,NHAMATANDA
2018,Nhamatanda,368149,NHAMATANDA
2007,Nicoadala,231850,NICOADALA
2018,Nicoadala,284309,NICOADALA
2007,Nipepe,30009,NIPEPE
2018,Nipepe,44815,NIPEPE
2007,Palma,73985,PALMA
2018,Palma,101315,PALMA
2007,Panda,47799,PANDA
2018,Panda,57799,PANDA
2007,Pebane,185333,PEBANE
2018,Pebane,263620,PEBANE
2007,Pemba,63100,PEMBA
2018,Pemba,103844,PEMBA
2007,Quissanga,37771,QUISSANGA
2018,Quissanga,43780,QUISSANGA
2007,Ribaue,186250,RIBAUE
2018,Ribaue,331197,RIBAUE
2007,Sanga,56165,SANGA
2018,Sanga,86022,SANGA
2007,Sussundenga,128866,SUSSUNDENGA
2018,Sussundenga,206421,SUSSUNDENGA
2007,Tambara,41775,TAMBARA
2018,Tambara,67855,TAMBARA
2007,Tsangano,169392,TSANGANO
2018,Tsangano,289761,TSANGANO
2007,Vilankulo,135813,VILANKULO
2018,Vilankulo,195585,VILANKULO
2007,Xai - Xai,209434,XAI-XAI
2018,Xai - Xai,252939,XAI-XAI
2007,Zavala,139145,ZAVALA
2018,Zavala,181826,ZAVALA
2007,Zumbo,56350,ZUMBU
2018,Zumbo,106007,ZUMBU
