form,unique_id,start,Assessor organisation:,Province,District,Posto,Location name,latitude,longitude,Site characteristics:,Number of inhabitants before the cyclone/flood:,Number of inhabitants after the cyclone/flood (not including the displaced people):,Number of displaced people (IDPs):,How many mildly injured men have there been in your location as a result of the cyclone/flood?,How many severely injured men have there been in your location as a result of the cyclone/flood?,How many fatalities (men) have there been in your location as a result of the cyclone/flood?,How many mildly injured women have there been in your location as a result of the cyclone/flood?,How many severely injured women have there been in your location as a result of the cyclone/flood?,How many fatalities (women) have there been in your location as a result of the cyclone/flood?,How many mildly injured children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many severely injured Children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many fatalities children (under 5 years) have there been in your location as a result of the cyclone/flood?,Number of unusable classrooms,Has cholera been confirmed?,Have been any cases of Measles?,Have been any cases of Acute Watery Diarrhoea (liquid stool)?,Have been any cases of Malnutrition?,Have been any cases of Malaria?,Have been any cases of Acute Respiratory Diseases?,Any reports of Sexually Transmitted Diseases?,Is there a health centre in the area?,How many health centres are operational?,How many health centres are non-operational?,Is there a Hospital  in the area?,How many Hospitals are operational?,How many Hospitals are non-operational?
Rapid Needs Assessment,site49,2019-04-05T09:47:43.515+02,Vicente Manuel Baraza,Manica,Manica,Machipanda,Machipanda cede,-18.99145763,32.74705583,Village,53600,53597,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site50,2019-04-05T14:24:23.141+02,Vicente,Manica,Manica,Manica,Manica,-18.93559089,32.87574695,Town,52000,52000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site51,2019-04-05T16:28:40.341+02,Elliott,Manica,Cidade De Chimoio,Cidade De Chimoio,Chussuie,0,0,City neighbourhood,1000,999,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site52,2019-04-06T16:14:02.641+02,Helena,Manica,Gondola,Macate,Sede macate,-19.436166,33.50622037,Village,4500,4449,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site53,2019-04-04T10:54:19.047+02,Josepha Domage Muonima,Manica,Gondola,Amatongas,Amatonga,-19.09813637,33.76394135,Town,57189,57177,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site54,2019-04-05T08:33:47.471+02,Nino,Manica,Manica,Machipanda,Chikueia,-18.96904498,32.76125664,Village,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site55,2019-04-05T10:31:57.847+02,Nathaniel,Manica,Manica,Machipanda,25 junho & Munene,-18.94479814,32.78072199,Village,1018,1018,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site56,2019-04-05T14:02:22.817+02,Nathaniel,Manica,Manica,Messica,Messica sede,-18.98977035,33.08140013,City neighbourhood,15000,15000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site57,2019-04-05T18:23:10.245+02,Nathaniel,Manica,Cidade De Chimoio,Cidade De Chimoio,"Centro Hipico, Zona 84",-19.13112077,33.45235081,City neighbourhood,2500,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site58,2019-04-05T20:45:39.361+02,Nathaniel,Manica,Gondola,Zembe,Dzina nwombe,0,0,Village,500,500,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site59,2019-04-06T09:32:31.768+02,Nathaniel,Manica,Cidade De Chimoio,Cidade De Chimoio,Bairro 5 Makodamo,0,0,City neighbourhood,99,96,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site60,2019-04-06T12:12:15.500+02,Nathaniel,Manica,Cidade De Chimoio,Cidade De Chimoio,Nhamadjessa,0,0,City neighbourhood,3923,3920,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site61,2019-04-06T12:50:39.643+02,Nathaniel,Manica,Cidade De Chimoio,Cidade De Chimoio,Centro Hipico  (Pedaco),-19.11937546,33.45944544,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site62,2019-04-06T14:19:11.427+02,Nathaniel,Manica,Cidade De Chimoio,Cidade De Chimoio,25 de junho,0,0,City neighbourhood,10000,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site63,2019-04-07T09:09:16.516+02,Anizio Chicote,Sofala,Nhamatanda,Nhamatanda,Bebedo,-19.40328095,34.4330846,Other,17669,18850,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site64,2019-04-07T10:28:33.516+02,Anizio Chicote,Sofala,Nhamatanda,Tica,Tica,-19.40275419,34.43300717,Other,30650,51216,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site65,2019-04-07T11:35:22.724+02,Anizio Chicote,Sofala,Nhamatanda,Nhamatanda,Lamego,-19.34984432,34.36506335,Other,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site66,2019-04-07T12:50:05.293+02,Anizio Chicote,Sofala,Nhamatanda,Nhamatanda,Nhampoca,0,0,Other,21219,22000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site67,2019-04-07T13:13:11.569+02,Lara carrilho,Sofala,Dondo,Dondo,Mutua,0,0,Village,2700,2700,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site68,2019-04-07T15:22:32.811+02,Anizio Chicote,Sofala,Nhamatanda,Nhamatanda,Chiluvo,-19.24397802,34.03149106,Other,13567,13547,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site69,2019-04-07T10:20:05.092+02,Slomao,Manica,Manica,Manica,Adao,0,0,Town,500,500,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site70,2019-04-07T12:30:28.262+02,Salomao,Manica,Manica,Manica,Comunidade de chinhamuriro localidade chinhabuzi,-19.01108313,32.94892295,Village,600,600,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site71,2019-04-07T13:59:10.847+02,Nathaniel,Manica,Manica,Messica,Zonue B,-19.09957022,32.99843673,Village,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site72,2019-04-07T16:03:19.385+02,Salomao munahaland,Manica,Manica,Messica,Nhaucaca,-19.06198432,33.04624672,Village,545,544,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site73,2019-04-03T17:20:02.891+02,Vincent,Manica,Gondola,Amatongas,Amatongas 7,-19.11423661,33.82929271,Village,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site74,2019-04-08T04:02:17.325-04,Bento Melgado,Sofala,Dondo,Dondo,Chinamacondo,-19.58019333,35.12154,Village,7320,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site75,2019-04-08T05:34:06.158-04:00,Bento Melgado,Sofala,Dondo,Dondo,Sengo,-19.574675,35.22609333,City neighbourhood,3700,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site76,2019-04-08T11:15:20.182+02,Vicente,Manica,Sussundenga,Dombe,"Muoco ,Machire",0,0,Village,3399,3399,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site77,2019-04-08T13:41:10.455+02,Vicente,Manica,Sussundenga,Dombe,Matarara,0,0,Village,326,326,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site78,2019-04-06T15:26:25.638+02,Vicente,Manica,Gondola,Amatongas,Nhambonda,-19.12342124,33.69612975,Village,15569,5560,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site79,2019-04-08T09:19:09.665+02,Salomao munahaland,Manica,Cidade De Chimoio,Cidade De Chimoio,Localidade de rica(macate0,0,0,Village,12700,1270,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site80,2019-04-08T11:03:59.251+02,Salomao munahaland,Manica,Sussundenga,Dombe,Localidade de muvumbe,-19.43100964,33.54199025,Village,5555,5555,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site81,2019-04-08T13:35:38.415+02,Salomao munahaland,Manica,Sussundenga,Sussundenga,Localidade nhaurombe,-19.52723695,33.49444798,Village,11110,111110,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site82,2019-04-08T10:48:17.267+02,Jone/Mavie,Manica,Sussundenga,Dombe,Machil,-20.07033779,33.26377769,Village,2089,2089,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site83,2019-04-08T13:49:28.612+02,Jone/Mavie,Manica,Sussundenga,Dombe,Povoado de Madebunhana - Localidade de Matarara,-19.9161226,33.59384843,Village,99,1702,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site84,2019-04-08T10:21:53.641+02,Nathaniel,Manica,Gondola,Macate,Macate,0,0,Village,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site85,2019-04-08T13:12:30.942+02,Helena,Manica,Gondola,Macate,Maconha,-19.50258778,33.51119357,Village,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site86,2019-04-06T15:28:05.251+02,Josefa Monima,Manica,Gondola,Amatongas,Amatongas cede,0,0,City neighbourhood,54000,54000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site87,2019-04-04T14:23:57.470+02,Vicente,Manica,Cidade De Chimoio,Cidade De Chimoio,Vila nova,-19.1098814,33.46579698,City neighbourhood,500,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site88,2019-04-06T12:20:25.427+02,Nino,Manica,Gondola,Inchope,Inchope cede,-19.19913153,33.9239525,City neighbourhood,1930,1930,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site89,2019-04-06T17:08:06.339+02,Eurico Jemusse,Manica,Gondola,Inchope,Inchope Sede,-19.20259373,33.92548048,City neighbourhood,27827,27827,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site90,2019-04-07T16:20:10.962+02,Nino,Manica,Cidade De Chimoio,Cidade De Chimoio,Urbano numero 1,-19.09619332,33.46969546,City neighbourhood,3000,2998,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site91,2019-04-07T18:01:29.309+02,Vicente,Manica,Cidade De Chimoio,Cidade De Chimoio,Vila nova,0,0,Resettlement centre or neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site92,2019-04-08T11:37:04.138+02,Bibiana chando,Manica,Sussundenga,Dombe,Dombe sede,-19.97188834,33.40955687,City neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site93,2019-04-08T13:01:46.521+02,Arnaldo,Manica,Sussundenga,Dombe,Mabaiaia Dombe Sede,-19.9709,33.37983066,Other,1885,1885,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site94,2019-04-08T14:41:42.276+02,Nino,Manica,Sussundenga,Dombe,Localidade Darue,-19.78781093,33.35211577,Village,11569,11501,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site95,2019-04-08T16:28:07.783+02,Eurico Jemusse,Manica,Sussundenga,Dombe,Mupunga,-19.7398773,33.34881633,Village,500,0,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site96,2019-04-08T08:36:16.129+02,Antonio Vinte,Sofala,Nhamatanda,Tica,Muda,0,0,Other,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site97,2019-04-08T09:39:52.902+02,Francisco tomocene,Sofala,Nhamatanda,Tica,Lamego,0,0,Resettlement centre or neighbourhood,600,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site98,2019-04-08T10:31:55.763+02,Tome Ismael,Sofala,Nhamatanda,Nhamatanda,Metuchira,0,0,Resettlement centre or neighbourhood,22000,20000,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site99,2019-04-08T11:30:13.839+02,Mateus Ernesto Campira,Sofala,Nhamatanda,Nhamatanda,Nhamatanda,0,0,Resettlement centre or neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site100,2019-04-08T12:33:01.602+02,Manuel Gimo ,Sofala,Dondo,Dondo,Dondo ,0,0,Resettlement centre or neighbourhood,37000,36080,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site101,2019-04-08T13:58:35.940+02,Zeca Jose Mamunambozi,Sofala,Dondo,Dondo,Dondo,0,0,Resettlement centre or neighbourhood,99,99,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site102,2019-04-08T14:55:42.393+02,Celestino Ndaremba Francisco ,Sofala,Dondo,Dondo,Dondo,0,0,Resettlement centre or neighbourhood,5786,5689,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site103,2019-04-08T15:32:16.604+02,"Carlos Antonio Joao",Sofala,Dondo,Dondo,Nhachembe,0,0,Resettlement centre or neighbourhood,500,400,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Needs Assessment,site104,2019-04-09T11:15:51.949+02,MAximo joao salomao,Manica,Gondola,Zembe,Zembe,-19.27134451,33.34857833,City neighbourhood,10344,10344,,,,,,,,,,,,,,,,,,,,,,,,
