adm1_code,org_total,adm1_name,Latitude,Longitude
MZ001,4,Cabo Delgado,-12.46090842,39.36555891
MZ002,3,Gaza,-23.31936769,32.80143138
MZ003,4,Inhambane,-22.80929795,34.51413095
MZ004,35,Manica,-19.00460979,33.42426646
MZ006,4,Maputo City,-25.53148161,32.45227668
MZ007,4,Nampula,-14.96713129,39.25035842
MZ008,3,Niassa,-13.05931544,36.46153776
MZ009,169,Sofala,-19.07886327,34.66181975
MZ010,26,Tete,-15.51730889,32.76857252
MZ011,31,Zambezia,-16.65671106,36.98338648
