epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,area_afectada_ha,agricultores_afectados,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,accoes_em_curso,observacoes,checkpoint,_submission_time,_submitted_by,meta_instanceid,_id
2016-2017,,Gaza,Xai-Xai,MZ09,MZ0912,,Chuvas fortes,1,FALSE,0,11/11/2016,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Inhambane,Homoine,MZ08,MZ0804,,Ventos fortes,0,TRUE,0,11/14/2016,85,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Sofala,Caia,MZ07,MZ0703,,Ventos fortes,0,TRUE,0,11/6/2016,2890,578,0,0,45,0,0,0,185,393,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Sofala,Gorongosa,MZ07,MZ0708,,Chuvas e ventos fortes,1,TRUE,0,11/20/2016,330,66,0,0,1,0,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Sofala,Muanza,MZ07,MZ0712,,Chuvas e ventos fortes,1,TRUE,0,11/19/2016,105,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Manica,Manica,MZ06,MZ0608,,Chuvas e ventos fortes,1,TRUE,0,11/13/2016,0,0,0,0,0,0,0,0,0,0,0,4,19,0,2492,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Manica,Sussundenga,MZ06,MZ0610,,Chuvas e ventos fortes,1,TRUE,0,11/14/2016,180,36,0,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Mutarara,MZ05,MZ0513,,Ventos fortes,0,TRUE,0,10/3/2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Zumbu,MZ05,MZ0515,,Chuvas fortes,1,FALSE,0,11/15/2016,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Ventos fortes,0,TRUE,0,11/20/2016,45,9,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Zumbu,MZ05,MZ0515,,Chuvas e ventos fortes,1,TRUE,0,11/25/2016,170,34,0,0,0,0,0,0,30,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Ventos fortes,0,TRUE,0,11/26/2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Magoe,MZ05,MZ0509,,Chuvas e ventos fortes,1,TRUE,0,11/27/2016,45,9,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Zumbu,MZ05,MZ0515,,Chuvas e ventos fortes,1,TRUE,0,12/5/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Tete,Cidade de Tete,MZ05,MZ0501,,Chuvas e ventos fortes,1,TRUE,0,12/5/2016,10,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Molundo,MZ04,MZ0415,,Chuvas e ventos fortes,1,TRUE,0,11/2/2016,385,77,0,0,0,0,0,0,32,45,0,2,0,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Dere,MZ04,MZ0404,,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Luabo,MZ04,MZ0409,,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,0,0,0,0,0,0,0,0,0,0,0,1,2,0,200,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Milange,MZ04,MZ0412,,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,0,0,0,0,0,0,0,0,0,0,0,2,7,0,776,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Mopeia,MZ04,MZ0416,,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Mocuba,MZ04,MZ0413,,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,230,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Cidade de Quelimane,MZ04,MZ0401,,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,0,0,0,0,0,0,0,0,0,0,0,1,2,0,150,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Morrumbala,MZ04,MZ0417,,Chuvas e ventos fortes,1,TRUE,0,11/26/2016,140,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Ile,MZ04,MZ0407,,Descarga atmosferica,0,FALSE,1,11/19/2016,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Ile,MZ04,MZ0407,,Ventos fortes,0,TRUE,0,10/30/2016,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Gurue,MZ04,MZ0406,,Chuvas e ventos fortes,1,TRUE,0,12/5/2016,270,54,0,0,0,0,0,0,54,0,0,4,4,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Zambezia,Mocuba,MZ04,MZ0413,,Chuvas e ventos fortes,1,TRUE,0,12/7/2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
