epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,area_afectada_ha,agricultores_afectados,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,accoes_em_curso,observacoes,checkpoint,_submission_time,_submitted_by,meta_instanceid,_id
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,,Ventos fortes,0,TRUE,0,11/18/2016,200,40,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Nampula,Erati,MZ03,MZ0303,,Chuvas e ventos fortes,1,TRUE,0,12/2/2016,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Nampula,Rapale,MZ03,MZ0323,,Chuvas e ventos fortes,1,TRUE,0,12/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Nampula,Monapo,MZ03,MZ0315,,Chuvas e ventos fortes,1,TRUE,0,12/3/2016,1640,328,0,0,2,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,,Ventos fortes,0,TRUE,0,12/7/2016,1025,205,0,0,0,0,0,0,205,0,0,0,18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Niassa,Maua,MZ01,MZ0108,,Chuvas e ventos fortes,1,TRUE,0,10/28/2016,141,28,0,0,2,0,0,0,28,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Niassa,Majune,MZ01,MZ0105,,Chuvas e ventos fortes,1,TRUE,0,11/1/2016,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,,Ventos fortes,0,TRUE,0,11/16/2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,,Chuvas e ventos fortes,1,TRUE,0,12/4/2016,150,30,0,0,4,0,0,0,22,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Niassa,Lago,MZ01,MZ0104,,Chuvas e ventos fortes,1,TRUE,0,12/4/2016,100,20,0,0,0,0,0,0,20,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
