epoca,periodo,provincia,distrito_old,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2017-2018,Outubro,Manica,Manica,Manica,MZ09,MZ0608,n/a,Chuvas e ventos fortes,1,TRUE,0,10/10/2017,16,8,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Manica,Manica,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,20,4,n/a,n/a,7,n/a,n/a,n/a,n/a,942,n/a,16,6,25,2318,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Mapai,Mapai,MZ09,MZ0914,n/a,Ciclone,0,FALSE,0,2/16/2017,3,1,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Gaza,Mapai,Mapai,MZ09,MZ0914,n/a,Chuvas e ventos fortes,1,TRUE,0,10/8/2017,175,35,n/a,n/a,n/a,n/a,n/a,n/a,35,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Gaza,Mapai,Mapai,MZ09,MZ0914,n/a,Chuvas fortes,1,FALSE,0,11/15/2017,20,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Marara,Marara,MZ05,MZ0510,n/a,Depressao tropical,0,FALSE,0,3/6/2019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19,38,n/a,n/a
2018-2019,Marco,Tete,Maravia,Maravia,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,346,309,n/a,n/a
2018-2019,Marco,Sofala,Maringue,Maringue,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,26900,5380,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2500,16575,n/a,n/a
2016-2017,n/a,Maputo,Marracuene,Marracuene,MZ10,MZ1005,n/a,Chuvas e ventos fortes,1,TRUE,0,3/24/2017,875,175,n/a,n/a,n/a,n/a,n/a,n/a,175,n/a,n/a,1,3,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Maputo,Marracuene,Marracuene,MZ09,MZ1005,n/a,Chuvas e ventos fortes,1,TRUE,0,11/15/2017,290,58,n/a,n/a,17,n/a,n/a,n/a,47,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Sofala,Marromeu,Marromeu,MZ07,MZ0711,n/a,Chuvas e ventos fortes,1,TRUE,0,12/18/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Sofala,Marromeu,Marromeu,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,41810,8362,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2383,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3421,23568,n/a,n/a
2016-2017,n/a,Niassa,Marrupa,Marrupa,MZ01,MZ0107,n/a,Chuvas e ventos fortes,1,TRUE,0,2/11/2017,18,4,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Niassa,Marrupa,Marrupa,MZ09,MZ0107,n/a,Chuvas acompanhadas de Trovoadas,1,FALSE,0,11/27/2017,2,1,n/a,n/a,1,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Marrupa,Marrupa,MZ09,MZ0107,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,1429,289,n/a,n/a,n/a,n/a,n/a,n/a,50,260,n/a,n/a,n/a,12,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Marrupa,Marrupa,MZ09,MZ0107,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Marrupa,Marrupa,MZ09,MZ0107,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Marrupa,Marrupa,MZ09,MZ0107,n/a,Chuvas fortes,1,FALSE,0,1/26/2018,165,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Massangena,Massangena,MZ09,MZ0910,n/a,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,0,0,n/a,n/a,0,n/a,n/a,n/a,32,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Gaza,Massangena,Massangena,MZ09,MZ0910,n/a,Chuvas e ventos fortes,1,TRUE,0,10/8/2017,5,1,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Massinga,Massinga,MZ08,MZ0809,n/a,Ciclone,0,FALSE,0,2/15/2017,194040,38808,n/a,n/a,68,n/a,n/a,n/a,38808,29236,n/a,n/a,n/a,251,n/a,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Massingir,Massingir,MZ09,MZ0911,n/a,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,0,0,n/a,n/a,0,n/a,n/a,n/a,6,0,n/a,n/a,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Massingir,Massingir,MZ09,MZ0911,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Gaza,Massingir,Massingir,MZ09,MZ0911,n/a,Chuvas e ventos fortes,1,TRUE,0,10/8/2017,90,18,n/a,n/a,3,n/a,n/a,n/a,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Gaza,Massingir,Massingir,MZ09,MZ0911,n/a,Chuvas e ventos fortes,1,TRUE,0,1/2/2018,20,4,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Niassa,Maua,Maua,MZ01,MZ0108,n/a,Chuvas e ventos fortes,1,TRUE,0,10/28/2016,141,28,n/a,n/a,2,n/a,n/a,n/a,28,n/a,n/a,1,2,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Maua,Maua,MZ09,MZ0108,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,48,10,n/a,n/a,n/a,n/a,n/a,n/a,1,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Maxixe,Cidade de Maxixe,MZ08,MZ0810,n/a,Chuvas fortes,1,FALSE,0,1/16/2017,270,54,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Maxixe,Cidade de Maxixe,MZ08,MZ0810,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2017,490,98,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Inhambane,Maxixe,Cidade de Maxixe,MZ08,MZ0810,n/a,Ciclone,0,FALSE,0,2/15/2017,105843,21195,n/a,n/a,n/a,n/a,n/a,n/a,10619,763,n/a,n/a,n/a,200,n/a,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Mecanhelas,Mecanhelas,MZ09,MZ0110,n/a,Chuvas fortes,1,FALSE,0,1/24/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Meconta,Meconta,MZ03,MZ0309,n/a,Chuvas fortes,1,FALSE,0,1/31/2017,10,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Meconta,Meconta,MZ09,MZ0309,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,11854,2369,n/a,n/a,n/a,n/a,n/a,n/a,1323,1043,n/a,n/a,6,75,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mecuburi,Mecuburi,MZ03,MZ0310,n/a,Ventos fortes,0,TRUE,0,11/18/2016,200,40,n/a,n/a,n/a,n/a,n/a,n/a,25,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mecuburi,Mecuburi,MZ03,MZ0310,n/a,Ventos fortes,0,TRUE,0,12/7/2016,1025,205,n/a,n/a,n/a,n/a,n/a,n/a,205,n/a,n/a,n/a,18,n/a,n/a,n/a,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mecuburi,Mecuburi,MZ03,MZ0310,n/a,Chuvas fortes,1,FALSE,0,12/28/2016,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mecuburi,Mecuburi,MZ03,MZ0310,n/a,Descarga atmosferica,0,FALSE,1,1/11/2017,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mecuburi,Mecuburi,MZ03,MZ0310,n/a,Chuvas fortes,1,FALSE,0,1/30/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Mecuburi,Mecuburi,MZ09,MZ0310,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Mecufi,Mecufi,MZ09,MZ0207,n/a,Chuvas fortes,1,FALSE,0,1/8/2018,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Mecufi,Mecufi,MZ09,MZ0207,n/a,Chuvas e ventos fortes,1,TRUE,0,1/19/2018,4415,883,n/a,n/a,n/a,n/a,n/a,n/a,n/a,104,779,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Niassa,Mecula,Mecula,MZ09,MZ0111,n/a,Chuvas e ventos fortes,1,TRUE,0,11/20/2017,5,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Mecula,Mecula,MZ09,MZ0111,n/a,Chuvas e ventos fortes,1,TRUE,0,1/14/2018,70,14,n/a,n/a,n/a,n/a,n/a,n/a,11,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Mecula,Mecula,MZ09,MZ0111,n/a,Chuvas e ventos fortes,1,TRUE,0,1/14/2018,70,14,n/a,n/a,n/a,n/a,n/a,n/a,11,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Mecula,Mecula,MZ09,MZ0111,n/a,Chuvas fortes,1,FALSE,0,1/22/2018,5,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Niassa,Mecula,Mecula,MZ09,MZ0111,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,75,15,n/a,n/a,n/a,n/a,n/a,n/a,11,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Meluco,Meluco,MZ09,MZ0208,n/a,Chuvas e ventos fortes,1,TRUE,0,1/16/2018,45,9,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Memba,Memba,MZ03,MZ0311,n/a,Ventos fortes,0,TRUE,0,1/3/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Memba,Memba,MZ03,MZ0311,n/a,Descarga atmosferica,0,FALSE,1,2/9/2017,5,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Memba,Memba,MZ09,MZ0311,n/a,Chuvas fortes,1,FALSE,0,1/8/2018,40,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Memba,Memba,MZ09,MZ0311,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,550,110,n/a,n/a,n/a,n/a,n/a,n/a,38,72,n/a,n/a,n/a,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Nampula,Memba,Memba,MZ09,MZ0311,n/a,Chuvas acompanhadas de Trovoadas,1,FALSE,0,2/6/2018,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Niassa,Metarica,Metarica,MZ01,MZ0112,n/a,Chuvas e ventos fortes,1,TRUE,0,1/14/2017,9,2,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Dezembro,Cabo_Delgado,Metuge,Metuge,MZ09,MZ0209,n/a,Chuvas e ventos fortes,1,TRUE,0,12/19/2017,35,7,n/a,n/a,n/a,n/a,n/a,n/a,2,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Metuge,Metuge,MZ09,MZ0209,n/a,Chuvas e ventos fortes,1,TRUE,0,1/24/2018,1370,274,n/a,n/a,n/a,n/a,n/a,n/a,183,57,34,n/a,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Milange,Milange,MZ04,MZ0412,n/a,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,7,n/a,776,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Zambezia,Milange,Milange,MZ09,MZ0412,n/a,Chuvas e ventos fortes,1,TRUE,0,11/30/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Marco,Zambezia,Milange,Milange,MZ09,MZ0501,n/a,Sismo,1,TRUE,n/a,3/8/2018,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Maputo,Moamba,Moamba,MZ10,MZ1007,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,12/24/2016,430,86,n/a,n/a,n/a,n/a,n/a,n/a,21,65,n/a,n/a,7,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Maputo,Moamba,Moamba,MZ10,MZ1007,n/a,Ventos fortes,0,TRUE,0,1/17/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Maputo,Moamba,Moamba,MZ09,MZ1007,n/a,Chuvas e ventos fortes,1,TRUE,0,11/15/2017,5,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Moatize,Moatize,MZ05,MZ0512,n/a,Depressao tropical,0,FALSE,0,3/8/2019,5090,1018,n/a,n/a,n/a,1,1,n/a,1856,1401,n/a,27,57,n/a,8220,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5899,4719,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Mocimboa da Praia,Mocimboa da Praia,MZ02,MZ0210,n/a,Chuvas e ventos fortes,1,TRUE,0,1/16/2017,17,3,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Mocimboa da Praia,Mocimboa da Praia,MZ02,MZ0210,n/a,Chuvas e ventos fortes,1,TRUE,0,3/9/2017,20,4,n/a,n/a,n/a,n/a,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Mocuba,Mocuba,MZ04,MZ0413,n/a,Chuvas e ventos fortes,1,TRUE,0,11/5/2016,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,n/a,230,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Mocuba,Mocuba,MZ04,MZ0413,n/a,Chuvas e ventos fortes,1,TRUE,0,12/7/2016,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Zambezia,Mocubela,Mocubela,MZ04,MZ0414,n/a,Chuvas fortes,1,FALSE,0,4/1/2017,36,7,n/a,n/a,2,n/a,n/a,n/a,7,n/a,n/a,n/a,1,n/a,150,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Mogincual,Mogincual,MZ09,MZ0312,n/a,Chuvas e ventos fortes,1,TRUE,0,1/15/2018,255,51,n/a,n/a,n/a,n/a,n/a,n/a,27,24,n/a,n/a,17,9,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mogovolas,Mogovolas,MZ03,MZ0313,n/a,Chuvas e ventos fortes,1,TRUE,0,12/25/2016,5,1,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Nampula,Mogovolas,Mogovolas,MZ03,MZ0313,n/a,Chuvas e ventos fortes,1,TRUE,0,2/28/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Outubro,Nampula,Mogovolas,Mogovolas,MZ09,MZ0313,n/a,Chuvas e ventos fortes,1,TRUE,0,11/3/2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
