epoca,periodo,provincia,distrito_old,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2017-2018,Fevereiro,Tete,Macanga,Macanga,MZ09,MZ0508,n/a,Descarga atmosferica,0,FALSE,1,2/22/2018,n/a,n/a,n/a,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Macanga,Macanga,MZ05,MZ0508,n/a,Depressao tropical,0,FALSE,0,3/8/2019,6460,1292,n/a,n/a,11,3,3,n/a,1109,203,n/a,8,17,n/a,1585,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Macate,Macate,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,32975,8282,n/a,n/a,6,n/a,10,n/a,n/a,355,n/a,25,30,43,5846,110,2,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41,19409,13967,n/a,n/a
2016-2017,n/a,Sofala,Machanga,Machanga,MZ07,MZ0709,n/a,Inundades,0,FALSE,0,1/26/2017,1505,301,43205,10164,n/a,n/a,n/a,n/a,n/a,47,349,21,n/a,7,6909,256,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31,n/a,n/a,n/a,n/a
2016-2017,n/a,Sofala,Machanga,Machanga,MZ07,MZ0709,n/a,Inundades,0,FALSE,0,3/4/2017,27045,5409,n/a,n/a,n/a,n/a,n/a,n/a,219,86,5104,16,n/a,n/a,5422,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24,n/a,n/a,n/a,n/a
2018-2019,Marco,Sofala,Machanga,Machanga,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/14/2019,2335,467,n/a,n/a,n/a,n/a,n/a,n/a,387,80,n/a,19,45,n/a,9542,308,18,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1899,10886,n/a,n/a
2018-2019,Marco,Manica,Machaze,Machaze,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,3,12,991,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Manica,Macossa,Macossa,MZ09,MZ0607,n/a,Chuvas e ventos fortes,1,TRUE,0,1/2/2018,125,25,n/a,n/a,n/a,n/a,n/a,n/a,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Macossa,Macossa,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,3,4,7,1099,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Fevereiro,Zambezia,Maganja da Costa,Maganja da Costa,MZ09,MZ0411,n/a,Chuvas fortes,1,FALSE,0,2/13/2018,3230,646,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,646,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
