Posto,pop_tot,male_pop,female_pop
Mavue,6376,2791,3585
Mawayela,5319,2346,2973
Mazeze,18315,8839,9476
Mazivila,22827,10039,12788
Mazucane,14090,5969,8121
Mazue,59984,29251,30733
Mbau,10688,5295,5393
Mecaume,11386,5366,6020
Mecaune,22746,10781,11965
Meconta,22650,11078,11572
Mecuburi,60948,29701,31247
Mecufi,28788,13727,15061
Mecula Sede,16720,8214,8506
Megaza,32638,15741,16897
Meloco,24059,11431,12628
Meluco,15388,7489,7899
Memba,109346,53083,56263
Meponda,11742,5919,5823
Mepuagiua,63850,30921,32929
Messano,21394,9457,11937
Messica,50528,25057,25471
Metangula/Lunho,44301,21577,22724
Metarica,18924,9250,9674
Meti,17565,8622,8943
Metoro,37059,18069,18990
Metuge Sede,31536,15556,15980
Meza,29190,14071,15119
Mieze,30491,14927,15564
Mijune Sede/Malanga,10411,4993,5418
Milange,258963,125734,133229
Milhana,15179,7517,7662
Mirate,32622,15699,16923
Mitande,112,71,41
Miteda,20649,9748,10901
Moamba,12968,6297,6671
Moatize,78634,38427,40207
Mocimboa da Praia,61498,30002,31496
Mocubela,34964,16931,18033
Molowera,41098,20116,20982
Molumbo,85719,42104,43615
Monapo Sede,88825,44332,44493
Mongue,96002,46220,49782
Mopeia,72872,35606,37266
Morrumbala,162070,78729,83341
Morrumbene,63466,28086,35380
Mossuril Sede,28941,13939,15002
Motaze,6144,2891,3253
Muabanama,10653,5124,5529
Muaguide,10158,4872,5286
Mualadzi,68960,34307,34653
Muanona,66431,32027,34404
Muanza,4257,2049,2208
Muaquia,2078,1033,1045
Muatala,44150,22693,21457
Muatua,35940,17639,18301
Mucoduene,60365,26585,33780
Mucojo,22111,10596,11515
Mucoluane,10272,5103,5169
Mucuali,29353,14637,14716
Mucumbi,25876,11529,14347
Mucupia,67494,32310,35184
Muecate,45346,22423,22923
Mueda-Sede,52651,24998,27653
Muembe,20375,9783,10592
Mugeba,87770,42326,45444
Muhala,151301,77271,74030
Muhoa,17936,8806,9130
Muidumbe,27819,13308,14511
Muipite,9617,4682,4935
Muite,29420,14307,15113
Mukumbura,30470,15151,15319
Mulela (Mualama),67991,33512,34479
Mulevala,74665,35865,38800
Mulima,25110,11550,13560
Mungari,14436,6691,7745
Munhamade,62264,28699,33565
Municipio de Chibuto,50670,22628,28042
Municipio de Manhica,30372,13911,16461
Municipio De Manhica,27317,12795,14522
Murraça,24118,11346,12772
Murrebue,11285,5271,6014
Murrupula,53818,26681,27137
Mussuril Sede,20730,10024,10706
Mutivaze,18235,9002,9233
Mutuali,50533,24675,25858
Muxungue,64638,28433,36205
Muze,24450,12009,12441
Naburi,59581,29516,30065
Nacala,172064,85751,86313
Nacala Velha,66666,32249,34417
Nacaroa,53320,26005,27315
Nacumua,8104,3979,4125
Nairoto,8582,4166,4416
Nairrubi,2989,1448,1541
Nalazi,11059,5070,5989
Namaacha,29419,14646,14773
Namacurra,100619,47005,53614
Namaita,52464,25949,26515
Namajavira,44122,21374,22748
Namanhambir,9367,4538,4829
Namanhumbir,12878,6255,6623
Namapa-Erati,110159,53252,56907
Namaponda,37122,18298,18824
Namarroi,89053,40385,48668
Nametil Sede,115576,57402,58174
Namialo,50470,25271,25199
Namicopo,59009,30175,28834
Namina,28935,14359,14576
Naminge,43114,20815,22299
Namiroa,57177,27075,30102
Namogelia,24883,11967,12916
Namuno - Sede,65950,31612,34338
Nangade,35553,17004,18549
Nanhupo,38160,18287,19873
Nante,63112,28190,34922
Nao Aplicavel,1912731,933931,978800
Natikire,50697,25609,25088
Nauela,88350,42696,45654
Ncumpe,30024,14356,15668
Ndindiza,6442,2862,3580
Netia,111021,54028,56993
N'gapa,28813,13831,14982
Nguawala,2250,1032,1218
Nguzene,18106,7865,10241
Nhacafula,7696,3653,4043
Nhacolo,24345,11440,12905
Nhamadzi,30937,14764,16173
Nhamangua,13984,6635,7349
Nhamassonge,8452,3840,4612
Nhamatanda,144831,70425,74406
Nhamayabue,40493,19396,21097
Nhampassa,34706,16631,18075
Nicoadala,120368,59276,61092
Nihessiue,30187,14928,15259
Nipepe,20392,9725,10667
Nova Mambone,18634,8424,10210
Nova Sofala,30557,14614,15943
Nsadzo,19601,9567,10034
Ntamba,27181,13085,14096
Ntengo-Wambalame,112508,54309,58199
Ntlavene,8891,3865,5026
Nungo,5747,2738,3009
Ocua,45808,22031,23777
Olumbe,12549,6475,6074
