period,posto,population,Posto
2007,Cidade De Nampula,471717,CIDADE_DE_NAMPULA
2018,Cidade De Nampula,807468,CIDADE_DE_NAMPULA
2007,Cidade De Pemba,138716,CIDADE_DE_PEMBA
2018,Cidade De Pemba,267119,CIDADE_DE_PEMBA
2007,Cidade De Quelimane,193343,CIDADE_DE_QUELIMANE
2018,Cidade De Quelimane,293200,CIDADE_DE_QUELIMANE
2007,Cidade De Tete,155870,CIDADE_DE_TETE
2018,Cidade De Tete,275678,CIDADE_DE_TETE
2007,Cidade De Xai-Xai,115752,CIDADE_DE_XAI-XAI
2018,Cidade De Xai-Xai,139797,CIDADE_DE_XAI-XAI
2007,Cobue,17289,COBUE
2018,Cobue,29991,COBUE
2007,Combomune,9641,COMBOMUNE
2018,Combomune,13338,COMBOMUNE
2007,Corrane,52394,CORRANE
2018,Corrane,77444,CORRANE
2007,Covo,22141,COVO
2018,Covo,36840,COVO
2007,Cidade de Cuamba,79013,CUAMBA
2018,Cidade de Cuamba,133484,CUAMBA
2007,Cumbana,53317,CUMBANA
2018,Cumbana,73408,CUMBANA
2007,Cunle,20412,CUNLE
2018,Cunle,36297,CUNLE
2007,Dacata,92376,DACATA
2018,Dacata,181010,DACATA
2007,Derre,72662,DERRE
2018,Derre,114107,DERRE
2007,Diaca,17356,DIACA
2018,Diaca,23851,DIACA
2007,Dindiza,11511,DINDIZA
2018,Dindiza,21439,DINDIZA
2007,Divinhe,14585,DIVINHE
2018,Divinhe,20574,DIVINHE
2007,Doa,67618,DOA
2018,Doa,115529,DOA
2007,Dombe,49404,DOMBE
2018,Dombe,79137,DOMBE
2007,Domue,156939,DOMUE
2018,Domue,241110,DOMUE
2007,Dondo,70817,DONDO
2018,Dondo,103252,DONDO
2007,Espungabera,24211,ESPUNGABERA
2018,Espungabera,47441,ESPUNGABERA
2007,Estaquinha,36099,ESTAQUINHA
2018,Estaquinha,49945,ESTAQUINHA
2007,Etatara,31884,ETARARA
2018,Etatara,53865,ETARARA
2007,Fingoe,21443,FINGOE
2018,Fingoe,35827,FINGOE
2007,Funhalouro,26121,FUNHALOURO
2018,Funhalouro,40418,FUNHALOURO
2007,Furancungo,76341,FURANCUNGO
2018,Furancungo,246335,FURANCUNGO
2007,Galinha,20968,GALINHA
2018,Galinha,42628,GALINHA
2007,Gile,104819,GILE
2018,Gile,140815,GILE
2007,Godide,17720,GODIDE
2018,Godide,21838,GODIDE
2007,Gondola,33877,GONDOLA
2018,Gondola,56501,GONDOLA
2007,Gonhane,23702,GONHANE
2018,Gonhane,28502,GONHANE
2007,Goonda,25562,GOONDA
2018,Goonda,41274,GOONDA
2007,Gorongosa,59585,GORONGOSA
2018,Gorongosa,105675,GORONGOSA
2007,Guro Sede,28347,GURO
2018,Guro Sede,50690,GURO
2007,Cidade de Gurue,145466,GURUE
2018,Cidade de Gurue,255625,GURUE
2007,Homoine-Sede,88653,HOMOINE
2018,Homoine-Sede,123104,HOMOINE
2007,Hucula,12294,HUCULA
2018,Hucula,16941,HUCULA
2007,Iapala,86531,IAPALA
2018,Iapala,153873,IAPALA
2007,Ibo-Sede,6780,IBO
2018,Ibo-Sede,10181,IBO
2007,Ile,163676,ILE
2018,Ile,210807,ILE
2007,Ilha de Mocambique,13350,ILHA_DE_MOÇAMBIQUE
2018,Ilha de Mocambique,17355,ILHA_DE_MOÇAMBIQUE
2007,Ilha Josina Machel,9346,ILHA JOSINA MACHEL
2018,Ilha Josina Machel,23203,ILHA JOSINA MACHEL
2007,Ilha Licom,0,ILHA LICOM
2018,Ilha Licom,0,ILHA LICOM
2007,Ilha Risunodo,0,ILHA RISUNODO
2018,Ilha Risunodo,0,ILHA RISUNODO
2007,Imala,37884,IMALA
2018,Imala,55071,IMALA
2007,Imbuho,17488,IMBUO
2018,Imbuho,21964,IMBUO
2007,Impiri,19694,IMPIRI
2018,Impiri,26002,IMPIRI
2007,Inchope,36387,INCHOPE
2018,Inchope,60688,INCHOPE
2007,Inhaminga,27293,INHAMINGA
2018,Inhaminga,84081,INHAMINGA
2007,Inhamitanga,6800,INHAMITANGA
2018,Inhamitanga,20949,INHAMITANGA
2007,Inhangoma,63627,INHANGOMA
2018,Inhangoma,108711,INHANGOMA
2007,Inharrime Sede,72074,INHARRIME
2018,Inharrime Sede,116221,INHARRIME
2007,Inhassoro,45597,INHASSORO
2018,Inhassoro,68097,INHASSORO
2007,Inhassunge,67494,INHASSUNGE
2018,Inhassunge,81164,INHASSUNGE
2007,Insaca,135231,INSACA
2018,Insaca,365212,INSACA
2007,Intete,34023,INTETE
2018,Intete,46508,INTETE
2007,Itepela,8544,ITEPELA
2018,Itepela,19900,ITEPELA
2007,Itoculo,60774,ITOCULO
2018,Itoculo,90249,ITOCULO
2007,Iuluti,57622,IULUTI
2018,Iuluti,126476,IULUTI
2007,Jangamo,40085,JANGAMO
2018,Jangamo,55190,JANGAMO
2007,Kachembe,64019,KACHEMBE
2018,Kachembe,99571,KACHEMBE
2007,Kambulatsitsi,29298,KAMBULATSISI
2018,Kambulatsitsi,72189,KAMBULATSISI
2007,Katapua,19411,KATAPUA
2018,Katapua,24835,KATAPUA
2007,Kazula,21230,KAZULA
2018,Kazula,34313,KAZULA
2007,Kwekwe,21748,KUEKUE
2018,Kwekwe,28714,KUEKUE
2007,Lago Niassa,0,LAGO NIASSA
2018,Lago Niassa,0,LAGO NIASSA
2007,Lalaua-Sede,55971,LALAUA
2018,Lalaua-Sede,78506,LALAUA
2007,Larde,39519,LARDE
2018,Larde,54628,LARDE
2007,Lioma,84866,LIOMA
2018,Lioma,149134,LIOMA
2007,Lionde,42200,LIONDE
2018,Lionde,50767,LIONDE
2007,Lione,22364,LIONE
2018,Lione,37294,LIONE
2007,Liupo,25576,LIUPO
2018,Liupo,39521,LIUPO
2007,Luabo,44916,LUABO
2018,Luabo,55287,LUABO
2007,Luenha,31249,LUENHA
2018,Luenha,48603,LUENHA
2007,Lugela,43496,LUGELA
2018,Lugela,55208,LUGELA
2007,Luhno,27181,LUHNO
2018,Luhno,35294,LUHNO
2007,Lumbo,34713,LUMBO
2018,Lumbo,45126,LUMBO
2007,Lunga,31740,LUNGA
2018,Lunga,44250,LUNGA
2007,Lurio,90570,LURIO
2018,Lurio,146576,LURIO
2007,Lussimbeze,29278,LUSSIMBESSE
2018,Lussimbeze,44842,LUSSIMBESSE
2007,Mabalane Sede,13535,MABALANE
2018,Mabalane Sede,18726,MABALANE
2007,Mabote,22587,MABOTE
2018,Mabote,30338,MABOTE
2007,Macaloge,10066,MACALOGE
2018,Macaloge,15417,MACALOGE
2007,Macarretane,29777,MACARRETANE
2018,Macarretane,35822,MACARRETANE
2007,Macate,55194,MACATE
2018,Macate,92054,MACATE
2007,Machanga,27517,MACHANGA
2018,Machanga,38817,MACHANGA
2007,Machipanda,42606,MACHIPANDA
2018,Machipanda,70195,MACHIPANDA
2007,Machoca,23761,MACHOCA
2018,Machoca,32742,MACHOCA
2007,Machubo,4723,MACHUBO
2018,Machubo,12839,MACHUBO
2007,Macia,38877,MACIA
2018,Macia,47557,MACIA
2007,Macomia-Sede,32638,MACOMIA
2018,Macomia-Sede,41519,MACOMIA
2007,Macossa,10953,MACOSSA
2018,Macossa,29581,MACOSSA
2007,Macuacua,14358,MACUACUA
2018,Macuacua,16932,MACUACUA
2007,Macuse,91717,MACUZE
2018,Macuse,164587,MACUZE
2007,Mafambisse,53067,MAFAMBISSE
2018,Mafambisse,77372,MAFAMBISSE
2007,Mangaja da Costa,107607,MAGANJA
2018,Mangaja da Costa,135839,MAGANJA
2007,Magude,37153,MAGUDE
2018,Magude,49485,MAGUDE
2007,Mahate,19870,MAHATE
2018,Mahate,23031,MAHATE
2007,Mahele,2294,MAHELE
2018,Mahele,3055,MAHELE
2007,Maiaca,13355,MAIACA
2018,Maiaca,20433,MAIACA
2007,Majaua,59200,MAJAUA
2018,Majaua,93969,MAJAUA
2007,Makluane,7956,MAKLUANE
2018,Makluane,9732,MAKLUANE
2007,Majune Sede/Malanga,24635,MALANGA
2018,Majune Sede/Malanga,39678,MALANGA
2007,Malehice,55808,MALEHICE
2018,Malehice,68776,MALEHICE
2007,Malema/Canhunha,99932,MALEMA
2018,Malema/Canhunha,138456,MALEMA
2007,Molowera,41098,MALOWERA
2018,Molowera,68667,MALOWERA
2007,Maluana,17630,MALUANA
2018,Maluana,43770,MALUANA
2007,Mandie,17112,MANDIE
2018,Mandie,30600,MANDIE
2007,Mandimba Sede,96405,MANDIMBA
2018,Mandimba Sede,174404,MANDIMBA
2007,Mandlakaze,26122,MANDLAKAZE
2018,Mandlakaze,30805,MANDLAKAZE
2007,Municipio de Manhica,56165,MANHIÇA
2018,Municipio De Manhica,139440,MANHIÇA
2007,Maniamba,21509,MANIAMBA
2018,Maniamba,37311,MANIAMBA
2007,Cidade de Manica,36124,MANICA
2018,Cidade de Manica,59516,MANICA
2007,Manje,54180,MANJE
2018,Manje,87567,MANJE
2007,Mapai,17616,MAPAI
2018,Mapai,22393,MAPAI
2007,Mapinhane,65489,MAPINHANE
2018,Mapinhane,94311,MAPINHANE
2007,Mapulanguene,1834,MAPULANGUENE
2018,Mapulanguene,2443,MAPULANGUENE
2007,Mapupulo,47859,MAPUPULO
2018,Mapupulo,65917,MAPUPULO
2007,Maquival,109895,MAQUIVAL
2018,Maquival,134760,MAQUIVAL
2007,Marangira,5287,MARANGIRA
2018,Marangira,8284,MARANGIRA
2007,Maringue,39984,MARINGUE
2018,Maringue,59378,MARINGUE
2007,Marracuene,80252,MARRACUENE
2018,Marracuene,218156,MARRACUENE
2007,Marromeu,75596,MARROMEU
2018,Marromeu,152351,MARROMEU
2007,Marrupa - Sede,42615,MARRUPA
2018,Marrupa - Sede,66774,MARRUPA
2007,Massangena,9404,MASSANGENA
2018,Massangena,12026,MASSANGENA
2007,Massangulo,55505,MASSANGULO
2018,Massangulo,129277,MASSANGULO
2007,Massinga,149835,MASSINGA
2018,Massinga,179082,MASSINGA
2007,Massingir,11155,MASSINGIR
2018,Massingir,16134,MASSINGIR
2007,Matchedje,1880,MATCHEDJE
2018,Matchedje,2879,MATCHEDJE
2007,Matibane,34890,MATIBANE
2018,Matibane,48642,MATIBANE
2007,Matola Rio,34810,MATOLA RIO
2018,Matola Rio,75472,MATOLA RIO
2007,Matondovela,746,MATONDOVELA
2018,Matondovela,1133,MATONDOVELA
2007,Matsinho,36981,MATSINHO
2018,Matsinho,61678,MATSINHO
2007,Maua,36042,MAUA
2018,Maua,55144,MAUA
2007,Mavago Sede,15788,MAVAGO
2018,Mavago Sede,29192,MAVAGO
2007,Mavala,14688,MAVALA
2018,Mavala,19393,MAVALA
2007,Mavodze,8366,MAVODZE
2018,Mavodze,12100,MAVODZE
2007,Mavonde,25592,MAVONDE
2018,Mavonde,42164,MAVONDE
2007,Mavue,6376,MAVUE
2018,Mavue,8154,MAVUE
2007,Mawayela,5319,MAWAYELA
2018,Mawayela,6432,MAWAYELA
2007,Maxixe,108824,MAXIXE
2018,Maxixe,145430,MAXIXE
2007,Mazeze,18315,MAZEZE
2018,Mazeze,23433,MAZEZE
2007,Mazivila,22917,MAZIVILA
2018,Mazivila,28034,MAZIVILA
2007,Mazucane,13060,MAZUCANE
2018,Mazucane,15401,MAZUCANE
2007,Mazula,76142,MAZULA
2018,Mazula,99292,MAZULA
2007,Mbau,11263,MBAU
2018,Mbau,15478,MBAU
2007,Meconta,22650,MECONTA
2018,Meconta,33479,MECONTA
2007,Mecuburi,79506,MECUBURI
2018,Mecuburi,110982,MECUBURI
2007,Mecufi,28788,MECUFI
2018,Mecufi,36217,MECUFI
2007,Mecula Sede,13033,MECULA
2018,Mecula Sede,19802,MECULA
2007,Megaza,32638,MEGAZA
2018,Megaza,51254,MEGAZA
2007,Meloco,26367,MELOCO
2018,Meloco,36333,MELOCO
2007,Meluco,14479,MELUCO
2018,Meluco,16501,MELUCO
2007,Memba,109899,MEMBA
2018,Memba,143313,MEMBA
2007,Meponda,11742,MEPONDA
2018,Meponda,19581,MEPONDA
2007,Mepuagiua,67603,MEPUAGIUA
2018,Mepuagiua,118798,MEPUAGIUA
2007,Meza,29190,MESA
2018,Meza,37337,MESA
2007,Messano,21471,MESSANO
2018,Messano,26265,MESSANO
2007,Messica,50528,MESSICA
2018,Messica,83247,MESSICA
2007,Metangula/Lunho,44301,METANGULA
2018,Metangula/Lunho,76848,METANGULA
2007,Metarica,18924,METARICA
2018,Metarica,78812,METARICA
2007,Meti,17565,METI
2018,Meti,24637,METI
2007,Metoro,37059,METORO
2018,Metoro,47403,METORO
2007,Metuge Sede,31536,METUGE
2018,Metuge Sede,51899,METUGE
2007,Mecaune,34132,MICAUNE
2018,Mecaune,42013,MICAUNE
2007,Mieze,31564,MIEZE
2018,Mieze,51945,MIEZE
2007,Milange,256963,MILANGE
2018,Milange,407880,MILANGE
2007,Milhana,15179,MILHANA
2018,Milhana,21188,MILHANA
2007,Mirate,38777,MIRATE
2018,Mirate,53408,MIRATE
2007,Mitande,37243,MITANDE
2018,Mitande,67375,MITANDE
2007,Miteda,20649,MITEDA
2018,Miteda,24351,MITEDA
2007,Moamba,16862,MOAMBA
2018,Moamba,23790,MOAMBA
2007,Moatize,78634,MOATIZE
2018,Moatize,193750,MOATIZE
2007,Mocimboa Da Praia,61802,MOCIMBOA_DA_PRAIA
2018,Mocimboa Da Praia,84931,MOCIMBOA_DA_PRAIA
2007,Cidade de Mocuba,168736,MOCUBA
2018,Cidade de Mocuba,268477,MOCUBA
2007,Mocubela,34964,MOCUBELA
2018,Mocubela,44137,MOCUBELA
2007,Mocumbi,25876,MOCUMBI
2018,Mocumbi,41726,MOCUMBI
2007,Molumbo,86470,MOLUMBO
2018,Molumbo,137255,MOLUMBO
2007,Moma,164564,MOMA
2018,Moma,227480,MOMA
2007,Monapo Sede,132265,MONAPO
2018,Monapo Sede,196412,MONAPO
2007,Mongue,96002,MONGUE
2018,Mongue,152385,MONGUE
2007,cidade de Montepuez,76139,MONTEPUEZ
2018,Cidade de Montepuez,104867,MONTEPUEZ
2007,Mopeia,74724,MOPEIA
2018,Mopeia,131848,MOPEIA
2007,Morrumbala,162070,MORRUMBALA
2018,Morrumbala,254512,MORRUMBALA
2007,Morrumbene,62633,MORRUMBENE
2018,Morrumbene,86926,MORRUMBENE
2007,Mossuril Sede,49671,MOSSURIL
