period,posto,population,Posto
2018,Olumbe,59053,OLUMBI
2007,Pafuri,5112,PAFURI
2018,Pafuri,6498,PAFURI
2007,Palma,26073,PALMA
2018,Palma,30806,PALMA
2007,Palmeira,40208,PALMEIRA
2018,Palmeira,99824,PALMEIRA
2007,Panda,33851,PANDA
2018,Panda,40933,PANDA
2007,Panjane,4124,PANJANE
2018,Panjane,5493,PANJANE
2007,Papai,11066,PAPAI
2018,Papai,15249,PAPAI
2007,Pebane,60711,PEBANE
2018,Pebane,86356,PEBANE
2007,Pembe,19082,PEMBE
2018,Pembe,26497,PEMBE
2007,Pessene,14659,PESSENE
2018,Pessene,20682,PESSENE
2007,Praia De Bilene,7951,PRAIA DE BILENE
2018,Praia De Bilene,9726,PRAIA DE BILENE
2007,Pundanhar,3349,PUNDANHAR
2018,Pundanhar,3957,PUNDANHAR
2007,Quinga,34385,QUINGA
2018,Quinga,46868,QUINGA
2007,Quionga,6347,QUIONGA
2018,Quionga,7499,QUIONGA
2007,Quirimba,2564,QUIRIMBA
2018,Quirimba,3850,QUIRIMBA
2007,Quissanga-Sede,4513,QUISSANGA
2018,Quissanga-Sede,5231,QUISSANGA
2007,Quissico,77696,QUISSICO
2018,Quissico,101528,QUISSICO
2007,Quiterajo,8571,QUITERAJO
2018,Quiterajo,10903,QUITERAJO
2007,Quixaxe,22060,QUIXAXE
2018,Quixaxe,34088,QUIXAXE
2007,Rapale,57491,RAPALE
2018,Rapale,106614,RAPALE
2007,Regone,36946,REGONE
2018,Regone,49770,REGONE
2007,Ressano Garcia,8997,RESSANO GARCIA
2018,Ressano Garcia,12694,RESSANO GARCIA
2007,Ribaue,79307,RIBAUE
2018,Ribaue,141027,RIBAUE
2007,Rotanda,10833,ROTANDA
2018,Rotanda,17353,ROTANDA
2007,Sabie,16041,SABIE
2018,Sabie,22632,SABIE
2007,Saua - Saua,19544,SAUA-SAUA
2018,Saua - Saua,26716,SAUA-SAUA
2007,Save,44054,SAVE
2018,Save,69003,SAVE
2007,Sena,36568,SENA
2018,Sena,57102,SENA
2007,Socone,51550,SOCONE
2018,Socone,66394,SOCONE
2007,Sofala,27282,SOFALA
2018,Sofala,37746,SOFALA
2007,Songo,36523,SONGO
2018,Songo,70501,SONGO
2007,Subwe,14495,SUBWE
2018,Subwe,21526,SUBWE
2007,Sussundenga,50693,SUSSUNDENGA
2018,Sussundenga,81201,SUSSUNDENGA
2007,Tacuane,19072,TACUANE
2018,Tacuane,24208,TACUANE
2007,Tica,68505,TICA
2018,Tica,121258,TICA
2007,Tome,11735,TOME
2018,Tome,18158,TOME
2007,Tsangano,55510,TSANGANO
2018,Tsangano,94955,TSANGANO
2007,Ulongoe,141876,ULONGUE
2018,Ulongoe,217968,ULONGUE
2007,Unango,14941,UNANGO
2018,Unango,22884,UNANGO
2007,Urrene,8629,URRENE
2018,Urrene,10434,URRENE
2007,Vanduzi,87032,VANDUZI
2018,Vanduzi,146741,VANDUZI
2007,Vila Eduardo Mondlane,16189,VILA EDUARDO MONDLANE
2018,Vila Eduardo Mondlane,20579,VILA EDUARDO MONDLANE
2007,Vilankulo,70324,VILANKULO
2018,Vilankulo,101274,VILANKULO
2007,Xhalala,11940,XHALALA
2018,Xhalala,14081,XHALALA
2007,Xilembene,58492,XILEMBENE
2018,Xilembene,70367,XILEMBENE
2007,Xinavane,24769,XINAVANE
2018,Xinavane,61494,XINAVANE
2007,Zambue,14779,ZAMBUE
2018,Zambue,27803,ZAMBUE
2007,Zandamela,61449,ZANDAMELA
2018,Zandamela,80298,ZANDAMELA
2007,Zembe,18595,ZEMBE
2018,Zembe,31013,ZEMBE
2007,Zimane,7294,ZIMANE
2018,Zimane,9797,ZIMANE
2007,Zinave,14852,ZINAVE
2018,Zinave,19949,ZINAVE
2007,Zitundo,6191,ZITUNDO
2018,Zitundo,7462,ZITUNDO
2007,Zobue,107160,ZOBUE
2018,Zobue,264036,ZOBUE
2007,Zongoene,27278,ZONGOENE
2018,Zongoene,32944,ZONGOENE
2007,Zulo,9180,ZULO
2018,Zulo,13278,ZULO
2007,Zumbo,17121,ZUMBU
2018,Zumbo,32208,ZUMBU
