partner,sector,province,district,org_no
"AJOAGO, IFRC, ISRAAID, MISSION EDUCATE, PLAN",Educação,Sofala,Buzi,5
"AJOAGO, AVSI, CARE, COSACA, ISRAAID, MAHLAHLA, OXFAM, PLAN, SAVE THE CHILDREN, TERRE DES HOMMES ITALY, UNICEF, WVI",Educação,Sofala,Ciudade Da Beira,12
"CARE, COSACA, FH ASSOCIATION, IFRC, ISRAAID, OXFAM, SAVE THE CHILDREN, UNICEF",Educação,Sofala,Dondo,8
"COSACA, IFRC, ISRAAID, UNICEF, WVI",Educação,Sofala,Nhamatanda,5
