sector,province,district,org_no
Telecomunicações de Emergência ,Manica,Sussundenga,4
Telecomunicações de Emergência ,Sofala,Cidade Da Beira,18
Telecomunicações de Emergência ,Sofala,Buzi,5
Telecomunicações de Emergência ,Sofala,Nhamatanda,2
Telecomunicações de Emergência ,Sofala,Dondo,2
