partner,sector,province,district,org_no
"TSF, WFP",Telecomunicações de Emergência ,Manica,Sussundenga,2
"TSF, WFP",Telecomunicações de Emergência ,Sofala,Cidade Da Beira,2
"TSF, WFP",Telecomunicações de Emergência ,Sofala,Buzi,2
TSF,Telecomunicações de Emergência ,Sofala,Nhamatanda,1
TSF,Telecomunicações de Emergência ,Sofala,Dondo,1
