partner,sector,province,district,org_no
"AVSI, COSACA, ELECTRICIANS SANS FRONTIERS, IOM, SCI, UNHCR, UNOCHA",Coordenacao e Gestao de Campos,Sofala,Cidade da Beira,7
UNOCHA,Coordenacao e Gestao de Campos,Manica,Cidade de Chimoio,1
UNOCHA,Coordenacao e Gestao de Campos,Maputo City,Cidade de Maputo,1
UNOCHA,Coordenacao e Gestao de Campos,Sofala,Buzi,1
UNOCHA,Coordenacao e Gestao de Campos,Sofala,Nhamatanda,1
