sector,province,district,org_no
Coordenacao e Gestao de Campos,Sofala,Cidade Da Beira,43
Coordenacao e Gestao de Campos,Maputo City,Cidade De Maputo,1
Coordenacao e Gestao de Campos,Manica,Cidade De Chimoio,1
Coordenacao e Gestao de Campos,Sofala,Buzi,1
Coordenacao e Gestao de Campos,Sofala,Nhamatanda,1
