,OBJECTID,,LC_PRI,LC_SEC,LC_TER,NOTE_,AUTOR,LC_PRI_PER,LC_SEC_PER,LC_TER_PER,HECTARES,POLY_ID,OBJECTID_1,LC_PRI_1,LC_DESCRIP,RECLASS1,RECLASS2
623,USE623,,2FD,2WD,,,5,3,2,0,1977,1953,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
636,USE636,,2FD,,,,6,5,0,0,1839,339,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
639,USE639,,2FD,,,,5,5,0,0,2126,1972,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
648,USE648,,2FD,6BA,2GL,,4,3,1,1,4331,7285,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
659,USE659,,2FD,,,,7,5,0,0,4641,8648,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
662,USE662,,2FD,2WD,,,6,3,2,0,34893,5778,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
696,USE696,,2FD,2SL,,,3,3,2,0,43462,10933,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
715,USE715,,2FD,2FXC,2WD,Derived from provincial land cover database,1,4,1,1,5065,16902,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
716,USE716,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,6208,16904,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
720,USE720,,2FD,6BA,,,6,3,2,0,7877,1483,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
735,USE735,,2FD,2SL,,,8,3,2,0,3375,4085,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
736,USE736,,2FD,,,,3,5,0,0,26730,4124,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
783,USE783,,2FD,2WD,2FXC,Derived from provincial land cover database,1,4,1,1,4325,18339,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
785,USE785,,2FD,2WD,2GL,Derived from provincial land cover database,1,3,2,1,2648,18558,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
788,USE788,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,1506,18652,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
791,USE791,,2FD,1CXF,,Derived from provincial land cover database,1,3,2,0,2483,18768,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
802,USE802,,2FD,2SL,6BA,,7,3,2,1,6044,4375,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
820,USE820,,2FD,2WD,,Derived from provincial land cover database,1,4,1,0,1992,18387,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
821,USE821,,2FD,2SL,,,8,3,2,0,219902,17750,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
830,USE830,,2FD,2SL,,,2,3,2,0,1274,23856,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
831,USE831,,2FD,2WD,2SL,,2,2,2,2,30139,23857,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
832,USE832,,2FD,2WD,2SL,,2,2,2,1,8151,23858,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
841,USE841,,2FD,2GL,,Derived from provincial land cover database,1,4,1,0,3283,18407,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
845,USE845,,2FD,2WD,,,5,4,1,0,10180,18942,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
846,USE846,,2FD,2WD,,,5,4,1,0,16891,18944,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
850,USE850,,2FD,,,,8,5,0,0,2276,23536,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
863,USE863,,2FD,2WD,,,6,3,2,0,37563,4416,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
867,USE867,,2FD,2SL,,,7,4,1,0,5821,16794,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
868,USE868,,2FD,2SL,,,7,4,1,0,20966,16800,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
904,USE904,,2FD,2GL,,,6,3,2,0,79893,5693,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
910,USE910,,2FD,2FE,2GL,,7,3,2,1,99054,15385,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
920,USE920,,2FD,2SL,,,8,3,2,0,1619,19422,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
924,USE924,,2FD,2FE,2SL,,8,3,2,1,14130,20260,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
941,USE941,,2FD,4HF,,Derived from provincial land cover database,1,4,1,0,78894,18424,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
944,USE944,,2FD,,,,6,5,0,0,4151,20967,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
971,USE971,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,2688,20957,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
974,USE974,,2FD,2SL,,,7,3,2,0,15068,20625,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
