,OBJECTID,,LC_PRI,LC_SEC,LC_TER,NOTE_,AUTOR,LC_PRI_PER,LC_SEC_PER,LC_TER_PER,HECTARES,POLY_ID,OBJECTID_1,LC_PRI_1,LC_DESCRIP,RECLASS1,RECLASS2
122,USE122,,2WD,,,,7,5,0,0,27191,15216,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
127,USE127,,2WD,2FE,1FC,,4,3,1,1,54670,25128,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
131,USE131,,2WD,,,,8,5,0,0,20998,25143,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
139,USE139,,2WD,2SL,,Derived from provincial land cover database,1,3,2,0,1468,17412,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
142,USE142,,2WD,2GL,,,2,3,2,0,8610,17588,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
143,USE143,,2WD,1FC,,,4,3,2,0,35572,17534,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
152,USE152,,2WD,2GL,2FD,Derived from provincial land cover database,1,3,2,1,4929,18772,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
188,USE188,,2WD,2SL,,,7,4,1,0,2269,3511,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
197,USE197,,2WD,1FC,,,6,3,2,0,6225,5759,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
201,USE201,,2WD,2SL,,,4,3,2,0,40447,3451,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
209,USE209,,2WD,2SL,,,5,3,2,0,1914,11523,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
211,USE211,,2WD,,,,8,5,0,0,3231,9949,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
218,USE218,,2WD,2SL,1FC,,6,3,2,1,12090,4315,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
228,USE228,,2WD,2SL,,,5,4,1,0,7099,11521,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
232,USE232,,2WD,2SL,,,2,4,1,0,33267,8616,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
238,USE238,,2WD,2FD,,,3,3,2,0,10986,9524,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
244,USE244,,2WD,,,,5,5,0,0,5868,11651,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
259,USE259,,2WD,,,,5,5,0,0,8711,11654,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
285,USE285,,2WD,2SL,,,8,3,2,0,1996,13883,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
301,USE301,,2WD,,,,8,5,0,0,3122,14851,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
304,USE304,,2WD,,,,5,5,0,0,30532,12036,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
311,USE311,,2WD,2FD,,,6,3,2,0,79613,821,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
316,USE316,,2WD,2GL,,,7,3,2,0,11937,15164,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
320,USE320,,2WD,,,,7,5,0,0,1937,8340,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
324,USE324,,2WD,2GL,,,2,3,2,0,31018,10602,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
326,USE326,,2WD,2SL,,,2,3,2,0,24215,9470,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
342,USE342,,2WD,2SL,,,7,3,2,0,8891,3473,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
373,USE373,,2WD,2GL,1CXF,,6,2,2,1,24749,4175,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
379,USE379,,2WD,2GL,,,6,3,2,0,2054,2093,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
383,USE383,,2WD,1FC,,,4,3,2,0,2953,9432,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
388,USE388,,2WD,2SL,,,6,3,2,0,40141,4440,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
396,USE396,,2WD,8WB,,,2,3,2,0,1118,2084,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
402,USE402,,2WD,2SL,2FXC,,4,3,2,1,21142,10468,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
413,USE413,,2WD,2GL,,,2,3,2,0,37315,3763,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
419,USE419,,2WD,2GL,,,6,3,2,0,6172,5162,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
420,USE420,,2WD,2FXC,,,6,3,2,0,10400,5164,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
423,USE423,,2WD,4WF,1FC,,6,2,2,2,13555,5690,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
433,USE433,,2WD,2SL,,Derived from provincial land cover database,1,3,2,0,1113,18212,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
438,USE438,,2WD,,,,6,5,0,0,2455,15775,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
444,USE444,,2WD,2SL,,Derived from provincial land cover database,1,3,2,0,2649,18473,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
452,USE452,,2WD,1FC,,,6,3,2,0,1635,4182,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
459,USE459,,2WD,2FD,2GL,,2,3,1,1,18185,16583,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
460,USE460,,2WD,2GL,,Derived from provincial land cover database,1,4,1,0,1808,17785,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
464,USE464,,2WD,,,Derived from provincial land cover database,1,5,0,0,1205,17794,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
465,USE465,,2WD,2SL,,,8,3,2,0,2750,14717,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
470,USE470,,2WD,2SL,1FC,,8,3,2,1,17990,16752,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
471,USE471,,2WD,2SL,1FC,,8,3,1,1,8362,16756,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
475,USE475,,2WD,2FD,2GL,,8,3,1,1,17240,16758,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
476,USE476,,2WD,,,,8,5,0,0,5121,16759,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
477,USE477,,2WD,,,Derived from provincial land cover database,1,5,0,0,6167,17826,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
479,USE479,,2WD,6BA,,Derived from provincial land cover database,1,4,1,0,908,18657,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
490,USE490,,2WD,2SL,1FC,,8,3,2,1,2366,16757,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
493,USE493,,2WD,,,,6,5,0,0,1493,15827,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
497,USE497,,2WD,2SL,,,7,3,2,0,9713,15226,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
512,USE512,,2WD,,,,6,5,0,0,31202,830,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
525,USE525,,2WD,2SL,2GL,,5,2,1,1,5786,15734,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
526,USE526,,2WD,2SL,,,5,3,2,0,25438,11596,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
529,USE529,,2WD,1FC,,,5,3,2,0,4602,15796,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
536,USE536,,2WD,2SL,2GL,,5,3,1,1,57491,9119,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
555,USE555,,2WD,1FC,2GL,,8,3,2,1,10651,17944,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
574,USE574,,2WD,2SL,,,6,3,2,0,5000,8093,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
580,USE580,,2WD,1FC,2GL,,7,3,2,1,25940,14041,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
590,USE590,,2WD,2SL,,,5,4,1,0,18479,9171,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
599,USE599,,2WD,2GL,,Derived from provincial land cover database,1,3,2,0,7065,17843,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
600,USE600,,2WD,2GL,,,2,3,2,0,44220,18021,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
603,USE603,,2WD,2FD,2FXC,Derived from provincial land cover database,1,4,1,1,3507,16878,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
611,USE611,,2WD,,,Derived from provincial land cover database,1,5,0,0,9019,18454,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
618,USE618,,2WD,2SL,,,5,4,1,0,4659,675,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
640,USE640,,2WD,,,,6,5,0,0,2554,828,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
646,USE646,,2WD,2GL,,,7,3,2,0,8787,6536,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
653,USE653,,2WD,,,,5,5,0,0,44015,8911,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
661,USE661,,2WD,,,,6,5,0,0,28060,4441,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
671,USE671,,2WD,2GL,,Derived from provincial land cover database,1,4,1,0,1561,18516,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
692,USE692,,2WD,2GL,,,2,3,2,0,15455,5103,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
700,USE700,,2WD,1FC,,,8,4,1,0,3152,23408,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
710,USE710,,2WD,,,Derived from provincial land cover database,1,5,0,0,7557,18726,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
712,USE712,,2WD,2GL,,,2,3,2,0,14898,17061,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
728,USE728,,2WD,2FD,,Derived from provincial land cover database,1,3,2,0,34643,17397,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
732,USE732,,2WD,1FC,,,3,3,2,0,2138,10401,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
741,USE741,,2WD,2SL,,,5,4,1,0,18833,9102,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
748,USE748,,2WD,2GL,,,5,3,2,0,9338,1758,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
751,USE751,,2WD,1FC,,,4,3,2,0,42394,6404,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
757,USE757,,2WD,2GL,,,2,4,1,0,4184,11707,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
759,USE759,,2WD,2GL,,,2,4,1,0,12656,17097,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
760,USE760,,2WD,2GL,,,2,3,2,0,26281,17102,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
762,USE762,,2WD,2SL,,,5,4,1,0,37071,17187,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
772,USE772,,2WD,2GL,,,2,3,2,0,19070,17637,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
777,USE777,,2WD,,,Derived from provincial land cover database,1,5,0,0,2616,17835,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
782,USE782,,2WD,,,Derived from provincial land cover database,1,5,0,0,1494,18337,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
787,USE787,,2WD,2FD,6BA,Derived from provincial land cover database,1,3,2,1,5051,18560,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
793,USE793,,2WD,2FXC,,Derived from provincial land cover database,1,3,2,0,2173,18862,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
796,USE796,,2WD,2GL,,Derived from provincial land cover database,1,3,2,0,2461,18244,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
797,USE797,,2WD,,,Derived from provincial land cover database,1,5,0,0,913,18245,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
803,USE803,,2WD,2SL,,,7,3,2,0,2498,4379,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
811,USE811,,2WD,1FC,,,8,3,2,0,3570,20130,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
815,USE815,,2WD,,,Derived from provincial land cover database,1,5,0,0,952,17812,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
818,USE818,,2WD,2SL,,Derived from provincial land cover database,1,3,2,0,5944,18374,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
826,USE826,,2WD,2GL,,Derived from provincial land cover database,1,3,2,0,14143,18696,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
827,USE827,,2WD,2GL,2FXC,Derived from provincial land cover database,1,3,2,1,5150,18807,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
828,USE828,,2WD,,,,5,5,0,0,14244,20233,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
838,USE838,,2WD,2SL,,,7,4,1,0,12312,16778,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
849,USE849,,2WD,2SL,,,8,3,2,0,9015,23530,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
858,USE858,,2WD,2FXC,,Derived from provincial land cover database,1,4,1,0,5409,25583,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
864,USE864,,2WD,,,,6,5,0,0,3517,5163,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
874,USE874,,2WD,2FD,2SL,,2,3,1,1,12933,23837,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
875,USE875,,2WD,2SL,,,2,3,2,0,9884,23843,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
879,USE879,,2WD,2GL,,,8,3,2,0,9313,7705,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
880,USE880,,2WD,2GL,,,8,3,2,0,26604,7714,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
890,USE890,,2WD,2SL,,,7,4,1,0,3724,3294,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
891,USE891,,2WD,2SL,,,7,4,1,0,10758,4217,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
893,USE893,,2WD,6BA,1FC,,4,3,2,1,20032,8031,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
896,USE896,,2WD,4HF,,,6,3,2,0,42663,18983,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
905,USE905,,2WD,2GL,,Derived from provincial land cover database,1,3,2,0,23188,18740,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
925,USE925,,2WD,2GL,,Derived from provincial land cover database,1,4,1,0,13854,18235,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
930,USE930,,2WD,,,,5,5,0,0,10683,11671,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
931,USE931,,2WD,2GL,,,4,4,1,0,183686,12578,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
945,USE945,,2WD,2FXC,,Derived from provincial land cover database,1,4,1,0,4295,20972,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
951,USE951,,2WD,6BA,,,7,4,1,0,3181,1445,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
954,USE954,,2WD,2FXC,2GL,,6,2,2,2,6775,2099,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
966,USE966,,2WD,2SL,2GL,,5,4,1,1,72239,3152,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
973,USE973,,2WD,,,Derived from provincial land cover database,1,5,0,0,6067,20963,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
989,USE989,,2WD,2SL,,,5,3,2,0,40545,3442,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1004,USE1004,,2WD,2GL,,,7,3,2,0,3976,9326,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1007,USE1007,,2WD,2SL,1FC,,8,3,2,1,3359,17920,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1008,USE1008,,2WD,,,,7,5,0,0,3642,21248,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1010,USE1010,,2WD,2GL,2FD,Derived from provincial land cover database,1,3,2,1,10594,18755,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1031,USE1031,,2WD,,,,7,5,0,0,35426,24738,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1038,USE1038,,2WD,1FC,2FD,,4,3,2,1,34336,6428,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1047,USE1047,,2WD,2FXC,1CXF,Derived from provincial land cover database,1,2,1,1,2069,21590,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1051,USE1051,,2WD,2GL,2FE,Derived from provincial land cover database,1,3,2,1,12309,22956,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1055,USE1055,,2WD,2FD,,Derived from provincial land cover database,1,3,2,0,15027,18543,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1060,USE1060,,2WD,2SL,,,2,3,2,0,8136,1232,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1075,USE1075,,2WD,,,,5,5,0,0,21261,8936,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1089,USE1089,,2WD,2SL,1FC,,5,2,2,2,8920,15806,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1090,USE1090,,2WD,1CXF,2FD,Derived from provincial land cover database,1,3,1,1,3142,18227,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1092,USE1092,,2WD,2TK,,Derived from provincial land cover database,1,3,2,0,1513,18230,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1106,USE1106,,2WD,,,,6,5,0,0,6261,17212,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1112,USE1112,,2WD,,,,6,5,0,0,14231,17210,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1118,USE1118,,2WD,,,Derived from provincial land cover database,1,5,0,0,8273,17849,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1159,USE1159,,2WD,2FD,,Derived from provincial land cover database,1,3,2,0,11209,18241,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1163,USE1163,,2WD,2FD,,,3,3,2,0,4151,21643,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1169,USE1169,,2WD,2GL,,,4,4,1,0,48755,21017,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1182,USE1182,,2WD,2FD,2GL,Derived from provincial land cover database,1,3,2,1,2512,18857,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1187,USE1187,,2WD,2FD,,,7,3,2,0,35640,21201,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1202,USE1202,,2WD,2SL,,,2,3,2,0,4774,22562,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1212,USE1212,,2WD,2GL,,Derived from provincial land cover database,1,3,2,0,4747,18628,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1214,USE1214,,2WD,2GL,2FD,Derived from provincial land cover database,1,3,2,1,2964,18753,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1215,USE1215,,2WD,2GL,2FXC,Derived from provincial land cover database,1,3,2,1,3075,18754,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1222,USE1222,,2WD,,,,7,5,0,0,7718,18959,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1224,USE1224,,2WD,2GL,,,7,3,2,0,30389,18963,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
1229,USE1229,,2WD,2FXC,2FE,Derived from provincial land cover database,1,3,1,1,3765,18748,8,2WD,(Semi-) Deciduous open forest; (Floresta aberta  (Semi-) Decidua (15 a 65% cobertura)),2,0
